Name,Price,Type
Roti Prata,$3.50,Appetizer
Curry Puff,$2.00,Appetizer
Satay (Chicken/Beef),$10.00,Appetizer
Fried Carrot Cake,$5.00,Appetizer
Chicken Rice,$6.00,Rice
Hainanese Chicken Rice,$7.00,Rice
Char Kway Teow,$8.00,Noodle Dish
Laksa,$7.50,Noodle Dish
Nasi Lemak,$8.50,Rice
Beef Rendang,$12.00,Meat
Chili Crab,$35.00,Seafood
Black Pepper Crab,$38.00,Seafood
Sambal Stingray,$15.00,Seafood
Fish Head Curry,$28.00,Seafood
Hokkien Mee,$7.00,Noodle Dish
Wonton Mee,$6.50,Noodle Dish
Bak Chor Mee,$7.50,Noodle Dish
Chwee Kueh,$4.00,Appetizer
Lor Mee,$6.00,Noodle Dish
Popiah,$4.50,Appetizer
Kaya Toast,$3.00,Appetizer
Ice Kachang,$6.00,Dessert
Chendol,$5.50,Dessert
Durian Pengat,$7.00,Dessert
Pulut Hitam,$4.50,Dessert
Teh Tarik,$3.00,Drink
Kopi,$2.50,Drink
Milo Dinosaur,$4.50,Drink
Bandung,$3.50,Drink
Sugarcane Juice,$3.00,Drink
